range_bin,doppler_bin,power,threshold,range_m,velocity_mps
22,110,3.804618202869e-09,3.631797331499e-09,3147.8208090000,175.6596433594
47,73,2.855596184118e-09,1.203839860853e-09,6895.2265340000,31.2283810417
48,73,2.808467442791e-09,1.205990068237e-09,7045.1227630000,31.2283810417
46,73,2.387302525595e-09,1.275799098345e-09,6745.3303050000,31.2283810417
49,73,2.304314334474e-09,1.273941138829e-09,7195.0189920000,31.2283810417
35,15,2.150789509542e-09,2.091246408694e-09,5096.4717860000,-195.1773815104
45,73,1.765234467662e-09,1.355619775682e-09,6595.4340760000,31.2283810417
50,73,1.741057966401e-09,1.347807534310e-09,7344.9152210000,31.2283810417
47,72,1.413885881322e-09,1.184279958277e-09,6895.2265340000,27.3248334115
48,72,1.390608236124e-09,1.190561744433e-09,7045.1227630000,27.3248334115
